title,director,plot,box_office,imdbrating,released
Newsies (1992),,,,,
101 Dalmatians (1961),,,,,
One Magic Christmas (1985),,,,,
Peter Pan (1953),,,,,
Popeye (1980),,,,,
"Rescuers Down Under, The (1990)",,,,,
"Rescuers, The (1977)",,,,,
Return from Witch Mountain (1978),,,,,
"Return of Jafar, The (1993)",,,,,
Return to Oz (1985),,,,,
"Rocketeer, The (1991)",,,,,
"Shaggy D.A., The (1976)",,,,,
Sleeping Beauty (1959),,,,,
Something Wicked This Way Comes (1983),,,,,
Son of Flubber (1963),,,,,
Song of the South (1946),,,,,
Splash (1984),,,,,
Squanto: A Warrior's Tale (1994),,,,,
Steamboat Willie (1940),,,,,
Tall Tale (1994),,,,,
Tex (1982),,,,,
Tron (1982),,,,,
Swing Kids (1993),,,,,
Halloween: H20 (1998),,,,,
L.A. Story (1991),,,,,
"Jerk, The (1979)",,,,,
Dead Men Don't Wear Plaid (1982),,,,,
"Man with Two Brains, The (1983)",,,,,
Grand Canyon (1991),,,,,
Graveyard Shift (1990),,,,,
"Outsiders, The (1983)",,,,,
Indiana Jones and the Temple of Doom (1984),,,,,
"Lord of the Rings, The (1978)",,,,,
Nineteen Eighty-Four (1984),,,,,
"Dead Zone, The (1983)",,,,,
Maximum Overdrive (1986),,,,,
Needful Things (1993),,,,,
Cujo (1983),,,,,
Children of the Corn (1984),,,,,
All Dogs Go to Heaven (1989),,,,,
"Addams Family, The (1991)",,,,,
Ever After: A Cinderella Story (1998),,,,,
Snake Eyes (1998),,,,,
"First Love, Last Rites (1997)",,,,,
Safe Men (1998),,,,,
"Saltmen of Tibet, The (1997)",,,,,
Atlantic City (1980),,,,,
Autumn Sonata (Höstsonaten ) (1978),,,,,
Who's Afraid of Virginia Woolf? (1966),,,,,
Adventures in Babysitting (1987),,,,,
Weird Science (1985),,,,,
Doctor Dolittle (1967),,,,,
"Nutty Professor, The (1963)",,,,,
Charlotte's Web (1973),,,,,
Watership Down (1978),,,,,
"Secret of NIMH, The (1982)",,,,,
"Dark Crystal, The (1982)",,,,,
"American Tail, An (1986)",,,,,
"American Tail: Fievel Goes West, An (1991)",,,,,
Legend (1985),,,,,
Sixteen Candles (1984),,,,,
Pretty in Pink (1986),,,,,
St. Elmo's Fire (1985),,,,,
"Clan of the Cave Bear, The (1986)",,,,,
House (1986),,,,,
House II: The Second Story (1987),,,,,
"Gods Must Be Crazy, The (1980)",,,,,
"Gods Must Be Crazy II, The (1989)",,,,,
Air Bud: Golden Receiver (1998),,,,,
"Avengers, The (1998)",,,,,
How Stella Got Her Groove Back (1998),,,,,
"Slums of Beverly Hills, The (1998)",,,,,
"Best Man, The (Il Testimone dello sposo) (1997)",,,,,
"Chambermaid on the Titanic, The (1998)",,,,,
"Henry: Portrait of a Serial Killer, Part 2 (1996)",,,,,
Henry: Portrait of a Serial Killer (1990),,,,,
Rosemary's Baby (1968),,,,,
"NeverEnding Story, The (1984)",,,,,
"NeverEnding Story II: The Next Chapter, The (1990)",,,,,
Attack of the Killer Tomatoes! (1980),,,,,
Surf Nazis Must Die (1987),,,,,
Your Friends and Neighbors (1998),,,,,
Return to Paradise (1998),,,,,
Blade (1998),,,,,
Dance with Me (1998),,,,,
Dead Man on Campus (1998),,,,,
Wrongfully Accused (1998),,,,,
"Next Stop, Wonderland (1998)",,,,,
"Strike! (a.k.a. All I Wanna Do, The Hairy Bird) (1998)",,,,,
"Navigator: A Mediaeval Odyssey, The (1988)",,,,,
Beetlejuice (1988),,,,,
Déjà Vu (1997),,,,,
Rope (1948),,,,,
Family Plot (1976),,,,,
Frenzy (1972),,,,,
Topaz (1969),,,,,
Torn Curtain (1966),,,,,
Marnie (1964),,,,,
"Wrong Man, The (1956)",,,,,
"Man Who Knew Too Much, The (1956)",,,,,
"Trouble with Harry, The (1955)",,,,,
I Confess (1953),,,,,
Strangers on a Train (1951),,,,,
Stage Fright (1950),,,,,
54 (1998),,,,,
I Married A Strange Person (1997),,,,,
Why Do Fools Fall In Love? (1998),,,,,
"Merry War, A (1997)",,,,,
See the Sea (Regarde la mer) (1997),,,,,
Willow (1988),,,,,
"Untouchables, The (1987)",,,,,
Dirty Work (1998),,,,,
Knock Off (1998),,,,,
Firelight (1997),,,,,
Modulations (1998),,,,,
Phoenix (1998),,,,,
Under Capricorn (1949),,,,,
"Paradine Case, The (1947)",,,,,
Lifeboat (1944),,,,,
Shadow of a Doubt (1943),,,,,
Saboteur (1942),,,,,
Mr. & Mrs. Smith (1941),,,,,
Suspicion (1941),,,,,
Jamaica Inn (1939),,,,,
"Lady Vanishes, The (1938)",,,,,
Young and Innocent (1937),,,,,
Sabotage (1936),,,,,
Secret Agent (1936),,,,,
"Man Who Knew Too Much, The (1934)",,,,,
Waltzes from Vienna (1933),,,,,
Number Seventeen (1932),,,,,
Rich and Strange (1932),,,,,
"Skin Game, The (1931)",,,,,
Elstree Calling (1930),,,,,
Juno and Paycock (1930),,,,,
Murder! (1930),,,,,
"Manxman, The (1929)",,,,,
Blackmail (1929),,,,,
Champagne (1928),,,,,
"Farmer's Wife, The (1928)",,,,,
Downhill (1927),,,,,
Easy Virtue (1927),,,,,
"Ring, The (1927)",,,,,
"Lodger, The (1926)",,,,,
"Mountain Eagle, The (1926)",,,,,
"Pleasure Garden, The (1925)",,,,,
Always Tell Your Wife (1923),,,,,
Rounders (1998),,,,,
Cube (1997),,,,,
Digging to China (1998),,,,,
Let's Talk About Sex (1998),,,,,
One Man's Hero (1999),,,,,
Simon Birch (1998),,,,,
Without Limits (1998),,,,,
Seven Beauties (Pasqualino Settebellezze) (1976),,,,,
Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),,,,,
My Bodyguard (1980),,,,,
Class (1983),,,,,
"Grandview, U.S.A. (1984)",,,,,
Broadcast News (1987),,,,,
"Allnighter, The (1987)",,,,,
Working Girl (1988),,,,,
Stars and Bars (1988),,,,,
Married to the Mob (1988),,,,,
Say Anything... (1989),,,,,
My Blue Heaven (1990),,,,,
Men Don't Leave (1990),,,,,
"Cabinet of Dr. Ramirez, The (1991)",,,,,
Hero (1992),,,,,
Toys (1992),,,,,
Choices (1981),,,,,
Young Doctors in Love (1982),,,,,
Parasite (1982),,,,,
No Small Affair (1984),,,,,
Master Ninja I (1984),,,,,
Blame It on Rio (1984),,,,,
Wisdom (1986),,,,,
One Crazy Summer (1986),,,,,
About Last Night... (1986),,,,,
"Seventh Sign, The (1988)",,,,,
We're No Angels (1989),,,,,
Nothing But Trouble (1991),,,,,
"Butcher's Wife, The (1991)",,,,,
Mortal Thoughts (1991),,,,,
"Few Good Men, A (1992)",,,,,
Indecent Proposal (1993),,,,,
"Century of Cinema, A (1994)",,,,,
Permanent Midnight (1998),,,,,
One True Thing (1998),,,,,
Rush Hour (1998),,,,,
Lilian's Story (1995),,,,,
Six-String Samurai (1998),,,,,
"Soldier's Daughter Never Cries, A (1998)",,,,,
Somewhere in the City (1997),,,,,
Ronin (1998),,,,,
Urban Legend (1998),,,,,
Clay Pigeons (1998),,,,,
Monument Ave. (1998),,,,,
Pecker (1998),,,,,
"Sheltering Sky, The (1990)",,,,,
Bandit Queen (1994),,,,,
If.... (1968),,,,,
"Fiendish Plot of Dr. Fu Manchu, The (1980)",,,,,
Them! (1954),,,,,
"Thing, The (1982)",,,,,
"Player, The (1992)",,,,,
Stardust Memories (1980),,,,,
Edward Scissorhands (1990),,,,,
Overnight Delivery (1996),,,,,
Shadrach (1998),,,,,
Antz (1998),,,,,
"Impostors, The (1998)",,,,,
"Night at the Roxbury, A (1998)",,,,,
What Dreams May Come (1998),,,,,
Strangeland (1998),,,,,
"Battle of the Sexes, The (1959)",,,,,
"Producers, The (1968)",,,,,
History of the World: Part I (1981),,,,,
My Cousin Vinny (1992),,,,,
Nashville (1975),,,,,
Love Is the Devil (1998),,,,,
Slam (1998),,,,,
Holy Man (1998),,,,,
One Tough Cop (1998),,,,,
Detroit 9000 (1973),,,,,
"Inheritors, The (Die Siebtelbauern) (1998)",,,,,
"Mighty, The (1998)",,,,,
2010 (1984),,,,,
Children of a Lesser God (1986),,,,,
"Elephant Man, The (1980)",,,,,
Beloved (1998),,,,,
Bride of Chucky (1998),,,,,
Practical Magic (1998),,,,,
"Alarmist, The (1997)",,,,,
Happiness (1998),,,,,
Reach the Rock (1997),,,,,
Apt Pupil (1998),,,,,
Pleasantville (1998),,,,,
Soldier (1998),,,,,
"Cruise, The (1998)",,,,,
Life Is Beautiful (La Vita è bella) (1997),,,,,
Orgazmo (1997),,,,,
Shattered Image (1998),,,,,
Tales from the Darkside: The Movie (1990),,,,,
Vampires (1998),,,,,
American History X (1998),,,,,
Hands on a Hard Body (1996),,,,,
Living Out Loud (1998),,,,,
Belly (1998),,,,,
Gods and Monsters (1998),,,,,
"Siege, The (1998)",,,,,
"Waterboy, The (1998)",,,,,
Elizabeth (1998),,,,,
Velvet Goldmine (1998),,,,,
I Still Know What You Did Last Summer (1998),,,,,
I'll Be Home For Christmas (1998),,,,,
Meet Joe Black (1998),,,,,
Dancing at Lughnasa (1998),,,,,
Hard Core Logo (1996),,,,,
"Naked Man, The (1998)",,,,,
Runaway Train (1985),,,,,
Desert Bloom (1986),,,,,
"Stepford Wives, The (1975)",,,,,
"Pope of Greenwich Village, The (1984)",,,,,
Sid and Nancy (1986),,,,,
Mona Lisa (1986),,,,,
Heart Condition (1990),,,,,
Nights of Cabiria (Le Notti di Cabiria) (1957),,,,,
"Big Chill, The (1983)",,,,,
Enemy of the State (1998),,,,,
"Rugrats Movie, The (1998)",,,,,
"Bug's Life, A (1998)",,,,,
Celebrity (1998),,,,,
Central Station (Central do Brasil) (1998),,,,,
Savior (1998),,,,,
Waking Ned Devine (1998),,,,,
"Celebration, The (Festen) (1998)",,,,,
Pink Flamingos (1972),,,,,
Glen or Glenda (1953),,,,,
Godzilla (Gojira) (1954),,,,,
Godzilla (Gojira) (1984),,,,,
King Kong vs. Godzilla (Kingukongu tai Gojira) (1962),,,,,
King Kong (1933),,,,,
King Kong (1976),,,,,
King Kong Lives (1986),,,,,
Desperately Seeking Susan (1985),,,,,
"Emerald Forest, The (1985)",,,,,
Fletch (1985),,,,,
Fletch Lives (1989),,,,,
Red Sonja (1985),,,,,
Gung Ho (1986),,,,,
"Money Pit, The (1986)",,,,,
"View to a Kill, A (1985)",,,,,
Lifeforce (1985),,,,,
Police Academy (1984),,,,,
Police Academy 2: Their First Assignment (1985),,,,,
Police Academy 3: Back in Training (1986),,,,,
Police Academy 4: Citizens on Patrol (1987),,,,,
Police Academy 5: Assignment: Miami Beach (1988),,,,,
Police Academy 6: City Under Siege (1989),,,,,
Babe: Pig in the City (1998),,,,,
Home Fries (1998),,,,,
Jerry Springer: Ringmaster (1998),,,,,
Very Bad Things (1998),,,,,
Steam: The Turkish Bath (Hamam) (1997),,,,,
Psycho (1998),,,,,
Little Voice (1998),,,,,
"Simple Plan, A (1998)",,,,,
Jack Frost (1998),,,,,
Star Trek: Insurrection (1998),,,,,
"Prince of Egypt, The (1998)",,,,,
Rushmore (1998),,,,,
Shakespeare in Love (1998),,,,,
Mass Appeal (1984),,,,,
Miracle on 34th Street (1947),,,,,
Santa Claus: The Movie (1985),,,,,
Prancer (1989),,,,,
Pale Rider (1985),,,,,
Rambo: First Blood Part II (1985),,,,,
First Blood (1982),,,,,
Rambo III (1988),,,,,
"Jewel of the Nile, The (1985)",,,,,
Romancing the Stone (1984),,,,,
Cocoon (1985),,,,,
Cocoon: The Return (1988),,,,,
Rocky II (1979),,,,,
Rocky III (1982),,,,,
Rocky IV (1985),,,,,
Rocky V (1990),,,,,
Clue (1985),,,,,
Young Sherlock Holmes (1985),,,,,
Violets Are Blue... (1986),,,,,
Back to School (1986),,,,,
Heartburn (1986),,,,,
Nothing in Common (1986),,,,,
Extremities (1986),,,,,
"Karate Kid, The (1984)",,,,,
"Karate Kid, Part II, The (1986)",,,,,
"Karate Kid III, The (1989)",,,,,
Christmas Vacation (1989),,,,,
You've Got Mail (1998),,,,,
"General, The (1998)",,,,,
"Theory of Flight, The (1998)",,,,,
"Thin Red Line, The (1998)",,,,,
"Faculty, The (1998)",,,,,
Mighty Joe Young (1998),,,,,
Mighty Joe Young (1949),,,,,
Patch Adams (1998),,,,,
Stepmom (1998),,,,,
"Civil Action, A (1998)",,,,,
Down in the Delta (1998),,,,,
Hurlyburly (1998),,,,,
Tea with Mussolini (1999),,,,,
Wilde (1997),,,,,
Outside Ozona (1998),,,,,
Affliction (1997),,,,,
Another Day in Paradise (1998),,,,,
"Hi-Lo Country, The (1998)",,,,,
Hilary and Jackie (1998),,,,,
Playing by Heart (1998),,,,,
24 7: Twenty Four Seven (1997),,,,,
At First Sight (1999),,,,,
In Dreams (1999),,,,,
Varsity Blues (1999),,,,,
Virus (1999),,,,,
"Garbage Pail Kids Movie, The (1987)",,,,,
Howard the Duck (1986),,,,,
"Gate, The (1987)",,,,,
"Gate II: Trespassers, The (1990)",,,,,
"Boy Who Could Fly, The (1986)",,,,,
"Fly, The (1958)",,,,,
"Fly, The (1986)",,,,,
"Fly II, The (1989)",,,,,
Running Scared (1986),,,,,
Armed and Dangerous (1986),,,,,
"Texas Chainsaw Massacre, The (1974)",,,,,
"Texas Chainsaw Massacre 2, The (1986)",,,,,
Leatherface: Texas Chainsaw Massacre III (1990),,,,,
"Return of the Texas Chainsaw Massacre, The (1994)",,,,,
Ruthless People (1986),,,,,
Trick or Treat (1986),,,,,
Deadly Friend (1986),,,,,
Belizaire the Cajun (1986),,,,,
"Name of the Rose, The (1986)",,,,,
Jumpin' Jack Flash (1986),,,,,
Peggy Sue Got Married (1986),,,,,
Crocodile Dundee (1986),,,,,
Crocodile Dundee II (1988),,,,,
Tough Guys (1986),,,,,
Soul Man (1986),,,,,
"Color of Money, The (1986)",,,,,
52 Pick-Up (1986),,,,,
Heartbreak Ridge (1986),,,,,
Firewalker (1986),,,,,
Three Amigos! (1986),,,,,
Gloria (1999),,,,,
Dry Cleaning (Nettoyage à sec) (1997),,,,,
My Name Is Joe (1998),,,,,
Still Crazy (1998),,,,,
"Day of the Beast, The (El Día de la bestia) (1995)",,,,,
Tinseltown (1998),,,,,
She's All That (1999),,,,,
24-hour Woman (1998),,,,,
"Blood, Guts, Bullets and Octane (1998)",,,,,
Peeping Tom (1960),,,,,
Spanish Fly (1998),,,,,
Payback (1999),,,,,
Simply Irresistible (1999),,,,,
20 Dates (1998),,,,,
"Harmonists, The (1997)",,,,,
"Last Days, The (1998)",,,,,
"Fantastic Planet, The (La Planète sauvage) (1973)",,,,,
Blast from the Past (1999),,,,,
Message in a Bottle (1999),,,,,
My Favorite Martian (1999),,,,,
God Said 'Ha!' (1998),,,,,
Jawbreaker (1999),,,,,
October Sky (1999),,,,,
Office Space (1999),,,,,
"Apple, The (Sib) (1998)",,,,,
200 Cigarettes (1999),,,,,
8MM (1999),,,,,
"Other Sister, The (1999)",,,,,
Breakfast of Champions (1999),,,,,
"Breaks, The (1999)",,,,,
Eight Days a Week (1997),,,,,
Just the Ticket (1999),,,,,
"Long Goodbye, The (1973)",,,,,
"Ballad of Narayama, The (Narayama Bushiko) (1982)",,,,,
Pet Sematary (1989),,,,,
Pet Sematary II (1992),,,,,
Children of the Corn II: The Final Sacrifice (1993),,,,,
Children of the Corn III (1994),,,,,
Christine (1983),,,,,
Night Shift (1982),,,,,
House on Haunted Hill (1958),,,,,
Airport (1970),,,,,
Airport 1975 (1974),,,,,
Airport '77 (1977),,,,,
Rollercoaster (1977),,,,,
"Towering Inferno, The (1974)",,,,,
Alligator (1980),,,,,
Meteor (1979),,,,,
Westworld (1973),,,,,
Logan's Run (1976),,,,,
Planet of the Apes (1968),,,,,
Beneath the Planet of the Apes (1970),,,,,
Battle for the Planet of the Apes (1973),,,,,
Conquest of the Planet of the Apes (1972),,,,,
Escape from the Planet of the Apes (1971),,,,,
Avalanche (1978),,,,,
Earthquake (1974),,,,,
"Concorde: Airport '79, The (1979)",,,,,
Beyond the Poseidon Adventure (1979),,,,,
Dancemaker (1998),,,,,
Analyze This (1999),,,,,
"Corruptor, The (1999)",,,,,
Cruel Intentions (1999),,,,,
"Lock, Stock & Two Smoking Barrels (1998)",,,,,
Six Ways to Sunday (1997),,,,,
"School of Flesh, The (L' École de la chair) (1998)",,,,,
Relax... It's Just Sex (1998),,,,,
"Deep End of the Ocean, The (1999)",,,,,
Harvest (1998),,,,,
"Rage: Carrie 2, The (1999)",,,,,
Wing Commander (1999),,,,,
"Haunting, The (1963)",,,,,
Dead Ringers (1988),,,,,
My Boyfriend's Back (1993),,,,,
Village of the Damned (1960),,,,,
Children of the Damned (1963),,,,,
Baby Geniuses (1999),,,,,
Telling You (1998),,,,,
I Stand Alone (Seul contre tous) (1998),,,,,
Forces of Nature (1999),,,,,
"King and I, The (1999)",,,,,
Ravenous (1999),,,,,
True Crime (1999),,,,,
Bandits (1997),,,,,
Beauty (1998),,,,,
"Empty Mirror, The (1999)",,,,,
"King and I, The (1956)",,,,,
Doug's 1st Movie (1999),,,,,
EDtv (1999),,,,,
"Mod Squad, The (1999)",,,,,
Among Giants (1998),,,,,
"Walk on the Moon, A (1999)",,,,,
"Matrix, The (1999)",,,,,
10 Things I Hate About You (1999),,,,,
Tango (1998),,,,,
"Out-of-Towners, The (1999)",,,,,
"Dreamlife of Angels, The (La Vie rêvée des anges) (1998)",,,,,
"Love, etc. (1996)",,,,,
Metroland (1997),,,,,
"Sticky Fingers of Time, The (1997)",,,,,
Following (1998),,,,,
Go (1999),,,,,
Never Been Kissed (1999),,,,,
Twin Dragons (Shuang long hui) (1992),,,,,
Cookie's Fortune (1999),,,,,
Foolish (1999),,,,,
"Lovers of the Arctic Circle, The (Los Amantes del Círculo Polar) (1998)",,,,,
"Goodbye, Lover (1999)",,,,,
Life (1999),,,,,
Clubland (1998),,,,,
Friends & Lovers (1999),,,,,
Hideous Kinky (1998),,,,,
Jeanne and the Perfect Guy (Jeanne et le garçon formidable) (1998),,,,,
"Joyriders, The (1999)",,,,,
"Monster, The (Il Mostro) (1994)",,,,,
Open Your Eyes (Abre los ojos) (1997),,,,,
Photographer (Fotoamator) (1998),,,,,
SLC Punk! (1998),,,,,
Lost & Found (1999),,,,,
Pushing Tin (1999),,,,,
Election (1999),,,,,
eXistenZ (1999),,,,,
"Little Bit of Soul, A (1998)",,,,,
Mighty Peking Man (Hsing hsing wang) (1977),,,,,
Nô (1998),,,,,
Let it Come Down: The Life of Paul Bowles (1998),,,,,
Entrapment (1999),,,,,
Idle Hands (1999),,,,,
Get Real (1998),,,,,
Heaven (1998),,,,,
"King of Masks, The (Bian Lian) (1996)",,,,,
Three Seasons (1999),,,,,
"Winslow Boy, The (1998)",,,,,
Mildred Pierce (1945),,,,,
Night of the Comet (1984),,,,,
Chopping Mall (a.k.a. Killbots) (1986),,,,,
My Science Project (1985),,,,,
Dick Tracy (1990),,,,,
"Mummy, The (1999)",,,,,
"Castle, The (1997)",,,,,
Mascara (1999),,,,,
This Is My Father (1998),,,,,
Xiu Xiu: The Sent-Down Girl (Tian yu) (1998),,,,,
"Midsummer Night's Dream, A (1999)",,,,,
Trippin' (1999),,,,,
After Life (1998),,,,,
Black Mask (Hak hap) (1996),,,,,
Edge of Seventeen (1998),,,,,
Endurance (1998),,,,,
Star Wars: Episode I - The Phantom Menace (1999),,,,,
"Love Letter, The (1999)",,,,,
Besieged (L' Assedio) (1998),,,,,
Frogs for Snakes (1998),,,,,
"Saragossa Manuscript, The (Rekopis znaleziony w Saragossie) (1965)",,,,,
"Mummy, The (1932)",,,,,
"Mummy, The (1959)",,,,,
"Mummy's Curse, The (1944)",,,,,
"Mummy's Ghost, The (1944)",,,,,
"Mummy's Hand, The (1940)",,,,,
"Mummy's Tomb, The (1942)",,,,,
Mommie Dearest (1981),,,,,
Superman (1978),,,,,
Superman II (1980),,,,,
Superman III (1983),,,,,
Superman IV: The Quest for Peace (1987),,,,,
Dracula (1931),,,,,
Dracula (1958),,,,,
House of Dracula (1945),,,,,
House of Frankenstein (1944),,,,,
Frankenstein (1931),,,,,
Son of Frankenstein (1939),,,,,
"Ghost of Frankenstein, The (1942)",,,,,
Frankenstein Meets the Wolf Man (1943),,,,,
"Curse of Frankenstein, The (1957)",,,,,
Son of Dracula (1943),,,,,
"Wolf Man, The (1941)",,,,,
Howling II: Your Sister Is a Werewolf (1985),,,,,
Tarantula (1955),,,,,
"Rocky Horror Picture Show, The (1975)",,,,,
"Flying Saucer, The (1950)",,,,,
It Came from Hollywood (1982),,,,,
"Thing From Another World, The (1951)",,,,,
It Came from Outer Space (1953),,,,,
"War of the Worlds, The (1953)",,,,,
It Came from Beneath the Sea (1955),,,,,
Invasion of the Body Snatchers (1956),,,,,
Earth Vs. the Flying Saucers (1956),,,,,
It Conquered the World (1956),,,,,
"Mole People, The (1956)",,,,,
Swamp Thing (1982),,,,,
Pork Chop Hill (1959),,,,,
"Run Silent, Run Deep (1958)",,,,,
Notting Hill (1999),,,,,
"Thirteenth Floor, The (1999)",,,,,
Eternity and a Day (Mia eoniotita ke mia mera ) (1998),,,,,
"Loss of Sexual Innocence, The (1999)",,,,,
Twice Upon a Yesterday (1998),,,,,
Instinct (1999),,,,,
Buena Vista Social Club (1999),,,,,
Desert Blue (1999),,,,,
Finding North (1999),,,,,
Floating (1997),,,,,
Free Enterprise (1998),,,,,
Limbo (1999),,,,,
Austin Powers: The Spy Who Shagged Me (1999),,,,,
Taxman (1999),,,,,
"Red Dwarf, The (Le Nain rouge) (1998)",,,,,
"Red Violin, The (Le Violon rouge) (1998)",,,,,
Tarzan (1999),,,,,
"General's Daughter, The (1999)",,,,,
Get Bruce (1999),,,,,
"Ideal Husband, An (1999)",,,,,
"Legend of 1900, The (Leggenda del pianista sull'oceano) (1998)",,,,,
Run Lola Run (Lola rennt) (1998),,,,,
Trekkies (1997),,,,,
Big Daddy (1999),,,,,
"Boys, The (1997)",,,,,
"Dinner Game, The (Le Dîner de cons) (1998)",,,,,
My Son the Fanatic (1998),,,,,
Zone 39 (1997),,,,,
Arachnophobia (1990),,,,,
"South Park: Bigger, Longer and Uncut (1999)",,,,,
Wild Wild West (1999),,,,,
Summer of Sam (1999),,,,,
Broken Vessels (1998),,,,,
"Lovers on the Bridge, The (Les Amants du Pont-Neuf) (1991)",,,,,
"Late August, Early September (Fin août, début septembre) (1998)",,,,,
American Pie (1999),,,,,
Arlington Road (1999),,,,,
"Autumn Tale, An (Conte d'automne) (1998)",,,,,
Muppets From Space (1999),,,,,
"Blair Witch Project, The (1999)",,,,,
My Life So Far (1999),,,,,
Eyes Wide Shut (1999),,,,,
Lake Placid (1999),,,,,
"Wood, The (1999)",,,,,
"Velocity of Gary, The (1998)",,,,,
Ghostbusters (1984),,,,,
Ghostbusters II (1989),,,,,
Drop Dead Gorgeous (1999),,,,,
"Haunting, The (1999)",,,,,
Inspector Gadget (1999),,,,,
Trick (1999),,,,,
Deep Blue Sea (1999),,,,,
Mystery Men (1999),,,,,
Runaway Bride (1999),,,,,
Twin Falls Idaho (1999),,,,,
"Killing, The (1956)",,,,,
Killer's Kiss (1955),,,,,
Spartacus (1960),,,,,
Lolita (1962),,,,,
Barry Lyndon (1975),,,,,
"400 Blows, The (Les Quatre cents coups) (1959)",,,,,
Jules and Jim (Jules et Jim) (1961),,,,,
Vibes (1988),,,,,
"Mosquito Coast, The (1986)",,,,,
"Golden Child, The (1986)",,,,,
Brighton Beach Memoirs (1986),,,,,
Assassination (1987),,,,,
Crimes of the Heart (1986),,,,,
"Color Purple, The (1985)",,,,,
"Kindred, The (1986)",,,,,
No Mercy (1986),,,,,
Ménage (Tenue de soirée) (1986),,,,,
Native Son (1986),,,,,
Otello (1986),,,,,
"Mission, The (1986)",,,,,
Little Shop of Horrors (1986),,,,,
"Little Shop of Horrors, The (1960)",,,,,
Allan Quartermain and the Lost City of Gold (1987),,,,,
"Morning After, The (1986)",,,,,
Radio Days (1987),,,,,
From the Hip (1987),,,,,
Outrageous Fortune (1987),,,,,
"Bedroom Window, The (1987)",,,,,
Deadtime Stories (1987),,,,,
Light of Day (1987),,,,,
Wanted: Dead or Alive (1987),,,,,
Frances (1982),,,,,
Plenty (1985),,,,,
Dick (1999),,,,,
"Gambler, The (A Játékos) (1997)",,,,,
"Iron Giant, The (1999)",,,,,
"Sixth Sense, The (1999)",,,,,
"Thomas Crown Affair, The (1999)",,,,,
"Thomas Crown Affair, The (1968)",,,,,
"Acid House, The (1998)",,,,,
"Adventures of Sebastian Cole, The (1998)",,,,,
Illuminata (1998),,,,,
Stiff Upper Lips (1998),,,,,
"Yards, The (1999)",,,,,
Bowfinger (1999),,,,,
Brokedown Palace (1999),,,,,
Detroit Rock City (1999),,,,,
Alice and Martin (Alice et Martin) (1998),,,,,
Better Than Chocolate (1999),,,,,
Head On (1998),,,,,
"Marcello Mastroianni: I Remember Yes, I Remember (1997)",,,,,
Cobra (1925),,,,,
Never Talk to Strangers (1995),,,,,
Heaven Can Wait (1978),,,,,
"Raven, The (1963)",,,,,
"Tingler, The (1959)",,,,,
Pit and the Pendulum (1961),,,,,
"Tomb of Ligeia, The (1965)",,,,,
"Masque of the Red Death, The (1964)",,,,,
Tales of Terror (1962),,,,,
Haunted Honeymoon (1986),,,,,
Cat's Eye (1985),,,,,
And Now for Something Completely Different (1971),,,,,
Damien: Omen II (1978),,,,,
"Final Conflict, The (a.k.a. Omen III: The Final Conflict) (1981)",,,,,
Airplane! (1980),,,,,
Airplane II: The Sequel (1982),,,,,
"American Werewolf in Paris, An (1997)",,,,,
European Vacation (1985),,,,,
Vacation (1983),,,,,
Funny Farm (1988),,,,,
Big (1988),,,,,
Problem Child (1990),,,,,
Problem Child 2 (1991),,,,,
Little Nemo: Adventures in Slumberland (1992),,,,,
Oscar and Lucinda (a.k.a. Oscar & Lucinda) (1997),,,,,
Tequila Sunrise (1988),,,,,
"Pelican Brief, The (1993)",,,,,
"Christmas Story, A (1983)",,,,,
Mickey Blue Eyes (1999),,,,,
Teaching Mrs. Tingle (1999),,,,,
Universal Soldier: The Return (1999),,,,,
Universal Soldier (1992),,,,,
Love Stinks (1999),,,,,
Perfect Blue (1997),,,,,
With Friends Like These... (1998),,,,,
In Too Deep (1999),,,,,
"Source, The (1999)",,,,,
"Bat, The (1959)",,,,,
Iron Eagle (1986),,,,,
Iron Eagle II (1988),,,,,
Aces: Iron Eagle III (1992),,,,,
Iron Eagle IV (1995),,,,,
Three Days of the Condor (1975),,,,,
Hamlet (1964),,,,,
Male and Female (1919),,,,,
Medicine Man (1992),,,,,
"Spiders, The (Die Spinnen, 1. Teil: Der Goldene See) (1919)",,,,,
On the Ropes (1999),,,,,
Rosie (1998),,,,,
"13th Warrior, The (1999)",,,,,
"Astronaut's Wife, The (1999)",,,,,
Dudley Do-Right (1999),,,,,
"Muse, The (1999)",,,,,
Cabaret Balkan (Bure Baruta) (1998),,,,,
"Dog of Flanders, A (1999)",,,,,
"Lost Son, The (1999)",,,,,
Lucie Aubrac (1997),,,,,
"Very Thought of You, The (1998)",,,,,
Chill Factor (1999),,,,,
Outside Providence (1999),,,,,
Bedrooms & Hallways (1998),,,,,
I Woke Up Early the Day I Died (1998),,,,,
West Beirut (West Beyrouth) (1998),,,,,
Stigmata (1999),,,,,
Stir of Echoes (1999),,,,,
Best Laid Plans (1999),,,,,
"Black Cat, White Cat (Crna macka, beli macor) (1998)",,,,,
"Minus Man, The (1999)",,,,,
White Boys (1999),,,,,
"Adventures of Milo and Otis, The (1986)",,,,,
Only Angels Have Wings (1939),,,,,
Othello (1952),,,,,
Queens Logic (1991),,,,,
Public Access (1993),,,,,
Saturn 3 (1979),,,,,
"Soldier's Story, A (1984)",,,,,
